idade,tempo_associado_anos,renda_mensal,valor_operacao,prazo_meses,comprometimento_renda,score_bureau,atrasos_12m,possui_garantia,canal_digital,qtd_operacoes_ativas,risco_alto
47.8,1.26,2848.65,12372.64,53,0.08,679.0,1,1,1,0,0
47.4,6.53,2814.47,3207.18,83,0.014,421.0,0,0,0,2,0
50.0,5.65,1482.61,11711.55,23,0.329,473.0,0,1,1,2,0
40.8,14.3,5064.23,4908.28,75,0.013,579.0,0,1,1,1,0
36.9,0.87,4315.98,7867.32,33,0.054,786.0,1,0,1,1,0
41.0,0.73,6682.84,13844.48,78,0.026,557.0,0,0,1,3,0
21.8,0.8,2933.77,19101.41,67,0.096,552.0,0,1,1,6,0
24.6,2.21,3047.33,8806.48,22,0.126,654.0,2,1,0,3,0
26.1,9.2,3617.45,3894.77,22,0.047,654.0,0,0,0,3,0
30.0,15.91,5380.54,5365.61,48,0.02,556.0,1,1,1,4,0
46.8,4.53,1467.6,14375.2,45,0.213,888.0,1,0,0,2,0
31.1,8.35,4938.57,3232.05,24,0.026,618.0,1,1,0,3,0
37.5,20.83,3257.54,6903.2,26,0.078,664.0,0,1,1,2,0
57.6,0.16,1840.42,5725.61,76,0.04,602.0,0,0,1,4,0
37.7,12.04,1400.0,7383.29,64,0.081,703.0,0,1,0,2,0
50.9,1.89,3056.24,3267.06,20,0.051,798.0,0,1,1,0,0
30.8,0.1,7304.47,1530.35,62,0.01,850.0,1,1,1,2,0
39.5,2.49,8275.68,12947.63,18,0.082,559.0,0,0,0,1,0
30.6,14.29,4005.63,19297.26,40,0.118,782.0,0,1,0,1,0
37.9,2.6,9692.46,1614.92,6,0.024,716.0,0,1,0,2,0
52.1,3.54,3217.57,11294.08,56,0.062,767.0,0,0,0,0,0
21.3,1.37,5565.36,21479.72,20,0.184,639.0,0,0,1,3,0
47.2,0.1,2570.42,13853.87,24,0.216,628.0,2,1,0,1,0
44.9,11.95,2482.37,5569.15,20,0.107,762.0,1,1,0,1,0
34.9,4.29,2269.63,3466.34,20,0.073,765.0,0,0,1,3,0
24.6,0.35,1400.0,8715.69,12,0.479,838.0,2,1,1,2,0
42.9,4.98,6686.87,10127.47,49,0.03,674.0,0,0,1,4,0
35.6,1.36,2314.85,8832.79,73,0.052,637.0,0,1,0,1,0
44.8,0.29,2120.08,6890.36,29,0.108,355.0,0,0,0,1,1
42.3,2.33,1721.61,3058.3,66,0.027,457.0,1,0,0,2,0
61.2,8.84,2944.23,11853.99,48,0.082,603.0,2,1,1,0,0
39.1,10.44,8689.94,12379.15,25,0.055,518.0,2,1,0,3,0
29.7,6.2,10421.0,9708.33,10,0.085,748.0,0,0,1,4,0
44.2,5.22,1400.0,8954.35,67,0.094,493.0,2,1,0,2,1
44.6,1.29,2710.95,36729.1,7,1.5,590.0,3,1,0,2,0
58.3,0.79,1865.16,4619.58,38,0.064,595.0,0,1,0,0,0
52.0,8.38,5673.64,25675.48,8,0.503,795.0,1,0,1,4,1
46.3,2.27,3856.93,4185.49,66,0.016,577.0,0,0,1,2,0
59.6,13.14,2321.31,21983.68,83,0.113,704.0,1,1,1,0,0
27.7,4.01,3428.63,24588.42,31,0.224,673.0,1,1,0,2,0
34.3,6.38,2533.66,6224.53,30,0.079,758.0,1,0,1,1,0
30.9,5.2,8005.11,36129.56,50,0.088,752.0,1,0,0,0,0
37.3,3.25,4450.75,12358.91,45,0.06,646.0,0,0,1,2,0
25.5,0.1,4761.9,3679.22,35,0.021,446.0,2,0,1,2,0
49.6,0.71,1400.0,5786.36,34,0.118,622.0,0,1,1,3,0
39.3,1.16,3175.65,22459.88,20,0.337,648.0,2,0,1,1,0
24.4,0.36,10360.61,18597.05,25,0.069,684.0,1,1,1,5,0
29.8,0.68,6831.99,3126.79,51,0.01,561.0,1,1,1,2,0
45.8,4.04,1400.0,7148.58,63,0.08,787.0,0,0,1,4,0
52.1,4.52,2772.81,9731.96,64,0.054,652.0,1,1,0,1,0
66.0,6.14,1701.33,5131.51,46,0.064,540.0,1,0,1,5,0
77.0,1.01,8443.11,67644.39,64,0.123,595.0,0,0,0,1,1
47.0,7.84,3768.2,9999.57,52,0.05,881.0,2,0,0,2,0
30.1,1.16,2159.67,7664.61,33,0.104,730.0,1,0,1,3,0
18.0,0.1,3356.95,23665.32,33,0.207,776.0,1,0,1,3,0
45.2,2.47,1400.0,5833.12,46,0.089,525.0,0,1,1,1,0
32.2,1.0,1813.97,20064.05,29,0.369,567.0,0,0,1,2,0
37.0,4.46,3361.17,1806.31,65,0.01,568.0,2,0,1,2,0
34.7,12.73,5245.48,5386.82,20,0.049,672.0,0,1,0,4,0
40.3,2.87,1400.0,20830.29,10,1.353,629.0,0,1,1,4,1
54.8,12.41,2671.42,33295.51,44,0.277,591.0,0,0,0,1,1
43.9,2.33,5740.65,4040.14,11,0.059,606.0,1,0,0,4,0
40.1,0.13,1482.82,3637.9,20,0.117,555.0,1,0,1,1,0
29.6,11.96,3737.05,13503.47,35,0.1,628.0,1,0,0,2,0
21.9,3.19,3416.21,4625.18,6,0.193,784.0,0,0,1,4,0
36.2,9.68,8458.35,6363.16,23,0.031,468.0,2,1,1,1,0
41.4,1.18,2902.78,17832.26,48,0.125,692.0,1,0,0,2,0
63.2,3.95,2997.76,4965.69,35,0.046,816.0,0,0,1,1,0
43.6,0.42,5272.33,1381.76,75,0.01,628.0,0,1,1,1,0
53.8,4.65,1588.44,2512.48,13,0.113,587.0,1,0,0,0,0
36.0,2.5,2917.59,8176.01,62,0.044,761.0,0,0,0,3,0
27.8,8.21,2564.07,1514.62,52,0.011,532.0,0,1,1,3,0
30.4,4.68,3052.14,6201.56,56,0.036,647.0,1,0,0,5,0
33.3,4.89,5253.36,2314.88,58,0.01,525.0,1,0,0,1,0
67.5,2.23,4468.41,35452.36,10,0.721,426.0,0,0,0,1,1
32.1,5.28,2182.5,56875.98,67,0.383,632.0,0,0,1,4,1
52.1,6.84,3551.71,3126.35,31,0.028,498.0,0,1,0,0,0
31.2,3.72,7478.17,10209.59,56,0.024,649.0,0,0,1,4,1
53.2,8.82,2085.47,3413.99,28,0.056,784.0,1,0,1,4,0
46.6,1.31,3568.29,6134.08,36,0.046,873.0,1,0,1,1,0
40.1,3.45,2962.42,41073.66,60,0.227,661.0,1,0,1,4,0
41.5,4.84,3182.26,5324.0,78,0.021,772.0,1,1,1,3,0
34.1,2.14,1400.0,6263.95,74,0.06,698.0,1,1,1,2,0
47.4,1.12,7157.53,3469.35,62,0.01,604.0,0,0,1,2,0
36.5,0.5,2151.9,22732.94,48,0.216,419.0,1,0,0,2,1
27.3,4.35,5792.62,500.0,47,0.01,845.0,0,1,1,0,0
26.7,1.37,2340.79,5439.72,81,0.028,524.0,1,0,1,4,0
44.1,0.32,2335.48,7775.26,22,0.145,816.0,0,0,0,3,0
60.9,4.15,6420.28,4469.49,80,0.01,714.0,0,1,1,5,0
43.9,0.55,5690.97,17627.07,56,0.054,533.0,0,0,0,0,0
40.6,10.39,3695.11,23904.56,54,0.118,687.0,1,0,1,4,0
45.4,0.42,5007.2,2273.7,52,0.01,906.0,0,0,0,0,1
57.7,6.8,2811.0,53323.8,69,0.271,834.0,0,0,1,1,0
44.6,4.97,3279.34,2250.86,59,0.011,588.0,2,0,1,2,0
37.1,0.26,2289.54,25842.29,13,0.806,565.0,1,0,0,2,1
55.3,2.17,5416.67,9272.84,66,0.026,662.0,0,1,1,1,1
47.1,8.46,2249.86,5149.57,62,0.036,630.0,2,0,1,1,0
60.4,0.82,7456.46,5605.87,77,0.01,794.0,2,1,1,0,0
44.2,3.09,2769.14,7862.33,79,0.035,739.0,1,0,0,3,0
27.3,8.56,3331.84,9774.93,80,0.036,447.0,1,0,1,1,0
25.6,0.92,5000.54,3539.93,9,0.071,705.0,0,0,0,5,0
61.8,1.41,3337.99,6564.65,55,0.035,629.0,0,0,0,4,1
62.7,0.52,2796.57,4049.69,78,0.018,654.0,1,1,1,2,0
39.8,11.83,3240.51,2714.75,81,0.01,680.0,0,0,0,2,0
37.4,0.46,5386.23,3883.22,48,0.015,794.0,1,0,0,4,1
59.5,14.77,2288.0,2878.49,77,0.016,767.0,0,0,1,0,0
28.7,2.41,3073.49,5551.71,74,0.024,560.0,0,0,1,2,0
31.3,7.62,3313.16,11958.86,6,0.516,643.0,1,0,1,4,0
49.7,6.62,5300.32,9033.0,75,0.022,596.0,0,0,0,1,0
37.3,4.64,3118.43,47901.89,55,0.274,448.0,0,0,1,4,0
41.9,2.73,8906.75,1108.31,50,0.01,637.0,2,1,1,3,0
40.0,4.41,3022.69,12362.3,19,0.204,871.0,3,1,0,6,0
46.1,1.83,2890.76,8150.04,77,0.036,445.0,0,0,0,2,0
58.9,5.22,2998.69,16883.69,29,0.188,647.0,1,0,1,1,0
43.1,0.1,1596.94,15441.57,38,0.248,643.0,0,0,0,3,0
49.7,0.33,1862.73,6984.91,29,0.125,685.0,0,0,0,1,0
18.0,0.53,2460.53,9465.28,81,0.047,534.0,0,0,1,1,0
41.4,0.86,6153.07,4147.82,43,0.015,479.0,1,0,1,3,0
31.9,1.31,3234.99,14077.2,14,0.29,485.0,1,1,0,2,1
27.4,8.59,2523.61,1493.7,6,0.085,810.0,0,1,1,1,0
31.5,17.81,6467.82,16303.64,82,0.03,532.0,0,0,0,2,0
38.0,0.99,7732.19,7935.84,24,0.041,590.0,0,0,1,5,0
53.0,0.34,6571.26,5227.27,66,0.012,903.0,0,0,0,2,0
26.1,1.1,2060.7,6572.96,8,0.354,562.0,1,0,0,2,0
42.4,5.69,2508.93,7021.44,75,0.037,691.0,2,0,1,1,0
36.2,8.5,8933.42,26044.8,56,0.051,778.0,1,0,1,1,0
38.1,2.52,3761.7,148768.14,23,1.5,772.0,0,0,0,1,1
54.0,2.34,2843.54,24291.55,75,0.112,490.0,0,0,0,3,0
48.5,4.32,4890.7,4871.74,29,0.033,564.0,0,1,1,1,0
58.0,6.04,5733.12,14282.69,83,0.03,686.0,1,0,1,0,0
40.1,3.82,2405.96,14853.58,52,0.116,881.0,0,1,1,2,0
33.6,0.14,3717.07,3524.01,40,0.023,559.0,0,0,1,3,0
39.3,18.73,5484.1,2605.24,10,0.043,591.0,1,0,1,3,0
44.9,2.39,1740.35,7654.49,26,0.163,700.0,1,0,0,3,1
44.1,2.95,3316.91,16763.13,10,0.459,724.0,0,0,1,4,0
29.0,0.45,1784.84,1899.55,72,0.015,732.0,2,0,0,1,0
43.1,0.29,1917.99,4235.23,13,0.158,548.0,0,0,0,1,1
44.7,0.33,2417.03,13566.88,14,0.374,586.0,0,0,0,4,0
72.2,3.56,4283.03,8413.15,15,0.123,676.0,1,0,0,0,0
64.5,0.3,2759.73,28988.26,81,0.128,801.0,2,0,1,1,0
31.8,15.05,2306.23,2275.08,81,0.012,621.0,0,1,1,3,0
38.6,3.12,3389.22,67302.22,61,0.32,647.0,0,1,1,1,0
24.4,3.03,1753.15,2030.03,11,0.096,527.0,0,1,1,3,0
34.9,8.93,4170.71,1304.73,45,0.01,874.0,2,1,0,2,0
45.8,2.95,6138.05,7684.64,79,0.016,669.0,1,0,0,1,0
56.5,1.02,3154.03,2918.97,13,0.066,779.0,1,1,0,1,0
33.3,5.23,2947.0,7825.32,67,0.039,654.0,0,0,1,3,0
34.2,0.17,4045.63,7582.86,7,0.234,660.0,0,0,1,5,0
18.0,0.6,1400.0,6794.05,68,0.07,470.0,1,1,0,0,0
40.0,4.22,4425.99,3796.48,48,0.018,392.0,1,0,1,1,0
29.3,0.1,18142.95,11960.81,75,0.01,800.0,0,0,1,1,0
35.6,3.79,3079.52,6089.96,38,0.051,659.0,1,0,0,2,0
31.5,9.59,3085.54,21879.35,67,0.104,675.0,0,0,0,3,1
40.9,21.33,4959.12,6888.89,71,0.019,500.0,0,0,1,2,0
20.9,7.23,8143.15,3400.97,31,0.013,542.0,0,1,1,2,0
24.4,1.07,5632.07,1774.12,56,0.01,777.0,0,0,0,0,0
67.6,2.0,1400.0,6940.31,41,0.118,859.0,0,0,0,2,0
26.6,1.51,4491.17,2585.61,39,0.014,575.0,0,0,1,4,0
28.8,1.63,13555.69,2404.35,68,0.01,731.0,0,1,0,2,0
64.0,5.39,4639.41,13026.12,23,0.117,673.0,2,1,1,2,0
76.9,9.07,1745.8,1636.14,15,0.059,636.0,3,1,0,2,1
27.9,2.11,3846.84,28882.01,43,0.171,872.0,0,0,0,5,0
37.6,0.1,1628.84,9355.73,70,0.081,596.0,0,0,0,4,0
46.1,1.6,6490.16,7789.58,18,0.063,799.0,1,0,0,2,0
62.7,3.55,1947.43,3192.98,32,0.05,696.0,2,1,1,3,0
30.2,1.19,3431.78,16121.92,58,0.08,648.0,0,0,1,3,0
39.1,2.12,2055.39,8081.93,43,0.089,815.0,1,1,0,2,0
51.3,8.42,2439.27,4369.98,53,0.033,685.0,2,0,1,3,0
47.2,1.37,7460.54,9699.62,47,0.027,638.0,0,1,0,3,0
37.5,3.12,3487.36,1782.0,69,0.01,816.0,0,0,1,4,0
40.4,3.44,2422.22,1859.77,74,0.01,800.0,1,0,1,2,0
25.5,8.93,1754.83,2956.71,41,0.04,794.0,0,0,0,1,0
39.1,2.4,1400.0,11098.6,39,0.198,300.0,0,0,1,2,0
38.8,3.98,1655.4,8079.36,27,0.174,703.0,0,1,0,2,0
44.8,1.98,3503.71,20828.58,40,0.145,675.0,0,0,1,3,0
35.3,2.16,5648.41,3540.45,71,0.01,646.0,0,1,1,2,0
47.7,22.54,2420.69,13591.52,45,0.122,723.0,1,0,1,3,0
54.2,3.27,7814.99,7313.79,59,0.016,681.0,2,0,1,3,0
43.9,18.32,2220.25,3467.74,38,0.04,731.0,1,0,0,1,0
46.2,2.76,2890.24,11461.82,61,0.064,618.0,1,0,1,1,0
42.6,0.24,1819.35,7635.7,61,0.068,830.0,0,1,1,2,0
42.0,0.5,5681.21,4599.91,47,0.017,743.0,1,0,0,2,0
33.3,0.18,10442.41,8415.24,78,0.01,715.0,0,0,1,5,0
45.8,5.02,1400.0,7211.43,74,0.069,709.0,1,0,1,1,0
40.8,3.95,2723.33,7056.33,18,0.136,789.0,0,1,0,2,0
67.1,1.16,6605.31,5589.62,23,0.035,773.0,0,1,0,2,0
60.9,6.09,1486.5,2503.75,80,0.021,636.0,0,1,1,2,0
46.6,7.98,4499.3,8667.09,37,0.051,769.0,1,0,0,3,0
32.8,3.95,6449.83,3934.57,30,0.02,671.0,0,0,1,0,0
28.7,2.66,3439.31,3234.74,68,0.014,880.0,2,0,1,1,0
56.3,1.99,4458.84,6524.83,52,0.028,782.0,0,1,1,7,0
45.2,1.13,8677.57,15687.57,16,0.106,575.0,1,0,0,3,0
47.8,3.25,9620.34,9576.35,13,0.071,930.0,1,1,1,1,0
21.1,4.55,3184.08,5023.95,69,0.023,398.0,0,1,0,1,0
53.1,3.14,2458.22,4845.42,65,0.03,726.0,0,1,1,5,0
47.5,3.54,1986.26,14360.43,33,0.213,566.0,1,1,1,3,0
28.7,17.14,5638.26,937.24,73,0.01,876.0,1,0,0,0,0
36.3,13.22,1549.25,16607.81,15,0.67,680.0,1,0,0,2,0
45.2,2.41,2867.18,1500.25,73,0.01,555.0,0,0,1,2,1
42.6,1.44,3485.89,2266.82,12,0.05,618.0,0,0,1,3,0
38.5,38.67,2498.26,5100.84,55,0.036,564.0,1,1,0,0,0
40.8,0.59,3842.59,57131.55,71,0.206,613.0,0,0,1,4,0
39.0,5.64,13500.5,36668.65,54,0.049,611.0,2,1,1,1,0
43.8,8.43,3081.34,15303.53,66,0.074,560.0,1,1,1,3,0
59.7,0.1,2592.89,11168.9,32,0.131,682.0,1,0,0,3,0
18.0,14.48,5758.5,1516.18,28,0.01,697.0,2,0,1,2,0
39.2,2.92,3758.48,9330.86,26,0.092,530.0,0,0,1,3,0
44.1,5.3,7270.9,4942.87,15,0.042,451.0,1,0,1,2,0
45.6,0.84,3606.81,3885.46,27,0.038,687.0,2,1,1,2,0
37.5,15.46,2873.73,9314.46,25,0.125,714.0,0,1,1,2,0
20.9,8.42,1400.0,5302.86,65,0.057,738.0,1,1,1,1,0
45.9,4.9,1400.0,17718.59,22,0.55,716.0,1,0,0,3,0
62.7,1.8,1400.0,1418.9,18,0.053,839.0,0,1,1,1,0
23.6,5.39,4058.78,8669.01,63,0.033,770.0,2,1,1,2,0
52.4,6.15,1557.38,3673.18,47,0.049,972.0,2,1,0,3,0
38.1,18.07,6571.96,5604.51,22,0.037,1000.0,0,1,1,1,0
41.3,0.64,3349.73,10659.04,61,0.051,439.0,0,1,1,0,0
29.4,3.03,2880.44,2964.38,22,0.045,386.0,1,0,1,2,1
38.0,1.25,2071.19,9393.84,67,0.067,649.0,0,1,0,3,0
57.6,1.6,4638.95,6693.52,8,0.16,711.0,2,0,0,2,0
49.0,13.87,2116.52,4471.47,52,0.04,641.0,1,0,0,4,0
62.8,0.52,1916.09,5305.42,52,0.052,734.0,0,0,0,4,0
56.1,7.93,6333.4,7050.85,35,0.031,618.0,1,0,1,2,0
47.3,16.36,4003.97,4060.04,59,0.017,567.0,0,0,0,0,0
62.9,0.12,2895.14,8154.99,35,0.078,585.0,1,0,1,1,0
47.3,1.36,4688.13,6308.42,56,0.024,626.0,0,1,1,4,0
51.9,2.1,3310.69,4674.35,23,0.059,751.0,1,1,1,2,0
38.4,0.62,4066.99,33889.42,50,0.163,592.0,0,1,1,1,1
42.8,0.37,2102.19,11774.79,64,0.086,615.0,0,1,1,2,0
33.6,1.35,10287.85,5741.98,81,0.01,718.0,2,0,1,2,1
53.9,0.97,2395.17,9239.79,34,0.11,626.0,0,1,0,1,0
27.9,5.58,7752.8,3215.9,42,0.01,784.0,1,0,0,2,0
51.4,5.54,2969.42,5469.3,43,0.042,540.0,0,0,0,5,0
39.7,5.81,5135.35,6074.96,73,0.016,514.0,0,1,1,2,0
56.1,13.73,4933.59,2638.29,81,0.01,687.0,0,1,1,2,0
51.0,0.43,6190.48,11482.95,56,0.033,699.0,0,0,0,2,0
63.8,3.33,2074.88,5140.72,70,0.035,546.0,0,1,1,1,0
50.8,2.96,5952.7,5884.52,12,0.076,811.0,1,0,1,2,0
23.1,14.28,9095.56,4856.88,65,0.01,881.0,0,1,1,1,0
41.2,1.14,2857.55,116213.18,69,0.581,575.0,0,1,1,0,0
27.9,6.82,3357.96,4463.31,61,0.021,828.0,1,0,1,1,0
35.8,0.99,2470.32,1259.15,51,0.01,364.0,0,1,0,2,0
60.1,0.44,2722.92,1919.96,76,0.01,779.0,1,0,0,6,0
49.7,4.74,8444.6,16048.53,56,0.033,547.0,1,0,0,4,0
33.6,4.65,1896.32,26978.82,72,0.195,767.0,0,1,1,2,0
29.8,15.85,1962.23,4386.92,20,0.106,535.0,0,1,1,1,0
42.4,0.55,7990.4,25618.11,57,0.055,642.0,1,0,0,2,0
27.4,2.16,4644.79,15794.72,40,0.083,553.0,0,1,1,3,0
33.9,11.95,10574.53,6832.65,73,0.01,624.0,0,0,1,0,0
45.7,4.29,2571.54,6409.9,74,0.033,870.0,1,0,0,1,0
55.9,7.16,3531.42,9535.56,71,0.038,637.0,0,1,1,5,0
49.3,0.55,2290.73,17849.13,22,0.339,903.0,2,0,1,1,0
18.0,0.11,3564.63,11586.14,44,0.072,604.0,1,0,1,2,0
45.7,3.28,1400.0,4406.66,6,0.45,829.0,1,1,0,2,1
42.9,1.81,4801.7,6927.22,82,0.017,455.0,1,1,1,2,0
47.0,5.45,3935.96,48201.1,26,0.454,616.0,1,0,1,5,0
61.4,8.13,3191.81,10158.77,54,0.058,586.0,0,0,1,0,0
18.0,12.42,2657.92,17719.0,44,0.148,835.0,0,1,0,0,0
34.9,12.82,2014.01,13172.63,76,0.085,672.0,1,1,0,4,0
49.1,6.02,4915.96,10363.26,70,0.03,399.0,1,0,0,4,0
23.0,0.46,1730.04,8935.87,66,0.077,493.0,1,0,0,2,0
59.7,1.9,4365.74,18172.26,56,0.073,528.0,0,0,1,3,0
46.4,3.94,10310.81,15471.86,15,0.094,762.0,1,0,1,0,0
52.2,14.02,7457.96,10275.36,77,0.018,747.0,1,0,1,3,0
35.1,0.1,1439.69,4339.93,10,0.274,614.0,1,1,1,0,0
51.8,7.89,2452.33,11464.41,41,0.111,584.0,0,1,0,2,0
54.8,1.57,4153.88,7628.85,35,0.051,736.0,0,1,1,1,0
44.8,0.78,3169.55,6139.94,36,0.052,514.0,2,0,0,3,0
44.8,0.62,1525.88,90300.51,82,0.713,705.0,0,0,1,4,0
45.2,2.63,4072.14,2028.1,24,0.02,695.0,0,0,0,2,0
31.6,12.31,3276.37,19199.92,51,0.113,617.0,1,0,0,0,0
40.2,6.07,9441.58,3727.88,23,0.016,698.0,1,0,1,0,0
40.2,9.28,2866.15,9118.64,77,0.041,662.0,1,1,0,1,0
46.6,4.69,6262.92,81775.16,63,0.204,710.0,0,0,0,0,0
54.0,3.46,1641.07,3407.96,38,0.053,490.0,0,1,0,1,0
